,aspect,opinion,negative,neutral,positive
0,Service,Hate the service here,1,0,0
1,Food,food is quite good,0,0,1
2,Freshness,Fresh & healthy,0,0,1
3,Food,good and filling,0,0,1
4,Vegetarian Japanese food,Pretty tasty,0,0,1
5,Ordinary,Otherwise ordinary,1,0,0
6,Vegan food,One my go-to places when feeding vegan food to omnivores,0,0,1
7,Veggie Tofu Curry,my healing elixir when feeling under the weather,0,0,1
8,Food,homey and unpretentious,0,0,1
9,Food,"bland compared to other cuisines like Thai, Korean, etc.",1,0,0
10,Cha-Ya Nabe,For serious veggie lovers who want a brothy meal.,0,0,1
11,Cha-Ya Delight,For serious veggie lovers who like to eat a lot of rice (not me).,0,0,1
12,Taku Sui,Dumplings are good at filling me up.,0,0,1
13,Tonchi Nasu,Bland but because all the sauce is at the bottom so you need to dip in it.,1,0,0
14,Soba Salad,"Finally, a dish with more flavor.",0,0,1
15,Cha-Ya Roll,Too bland. Skip it.,1,0,0
16,Parking,"I can always find parking on Folsom, a few blocks away.",0,0,1
17,Vegetarian food,Amazing,0,0,1
18,Payment options,Cash only,1,0,0
19,Vegetarian food,fresh and tasty,0,0,1
20,Soups,fresh and tasty,0,0,1
21,Noodles,fresh and tasty,0,0,1
22,Rolls,fresh and tasty,0,0,1
23,Overall satisfaction,I would definitely go again,0,0,1
24,Ambiance,relaxed,0,0,1
25,Payment,"They don't accept debit/CC, but they have an ATM machine at the very front",1,0,0
26,Food,"The roll was not as mind blowing as Blowfishs fried tofu-veggie roll and the hijiki salad was different from what Ive had at Kirala 2 (North Berkeley) and Delica at the Ferry Building. Nonetheless, the food was fresh",0,0,1
27,Service,"server was very friendly, prompt and accommodating (since I was in a hurry to get back to the East Bay). She even volunteered to keep an eye on my dog while I went to the restroom",0,0,1
28,Overall,Ill definitely come back for the ramen!,0,0,1
29,Restaurant,One of my favorite restaurants in San Francisco,0,0,1
30,Food,I love the Kinoko with Soba. I also love their gyoza and I love their tempura. The green tea is great.,0,0,1
31,Service,"The service is usually mediocre, but Ive just gotten used to that.",1,0,0
32,Payment,CASH ONLY.,1,0,0
33,Japanese food,Authentic Japanese flavors blended in unusual combinations,0,0,1
34,Tofu dish,Moon Garden is really good,0,0,1
35,Sushi,All the sushis are fantastic,0,0,1
36,Eggplant dish,Tonchi Nasu is really good,0,0,1
37,Oshiruko,remember to finish off with Oshiruko,0,0,1
38,Food,pretty good,0,0,1
39,Yasai noodles,very good,0,0,1
40,Vegetable tempura noodles,also very good,0,0,1
41,Sushi dish,tasty,0,0,1
42,Overall,enjoyed the visit,0,0,1
43,Service,excellent,0,0,1
44,Vegetarian (vegan) Japanese food,Outstanding,0,0,1
45,Food,consistently good food & variety,0,0,1
46,Service,ok,0,1,0
47,Ambiance,simple inside,0,1,0
48,Price,a fortune,1,0,0
49,Food,just because it is wrapped with some rice and sea weed,1,0,0
50,Menu,really bland,1,0,0
51,Noodle soups,okay but not great,1,0,0
52,Dumplings,come in soup and fall apart if you look at them the wrong way,1,0,0
53,Sushi,new funky twist,0,0,1
54,Sushi,place for you,0,0,1
55,Vegetarians,hell ya,0,0,1
56,Favourites,still get all of your favourites,0,0,1
57,Vegetarian friendliness,so awesome whether you are a vegetarian or not,0,0,1
58,Authenticity,authentic Japanese dishes,0,0,1
59,Servers,super nice,0,0,1
60,Fanciness,Not very fancy,1,0,0
61,Price,reasonably priced,0,0,1
62,Kinoko noodles,excellent,0,0,1
63,Lighting,makes everyone look pale and emaciated,1,0,0
64,Curry veggie soup,rocks my world,0,0,1
65,Brown rice sushi,ruin your rolls,1,0,0
66,Vegan cuisine,poor showing,1,0,0
67,Healthiness,pretty healthy,0,0,1
68,Service,nice,0,0,1
69,Vegetarian food,strictly vegetarian only,0,0,1
70,Tempura,vegetable tempura and the stuffed eggplant tempura is pretty tasty too,0,0,1
71,Miso soup,I am quite full,0,0,1
72,Payment,Cash only,1,0,0
73,Service,efficient,0,0,1
74,Ambiance,simple and place is clean,0,0,1
75,Vegan sukiyaki,bit flavorless but was likely very healthy,0,1,0
76,Service,slow despite the restaurant being empty,1,0,0
77,Payment,Cash only,1,0,0
78,Japanese food,vegetarian/vegan japanese food would be exciting,1,0,0
79,Japanese food,tasty and refreshing,0,0,1
80,Dishes with broth,"soups, hot pots, etc) that Ive had have been bland",1,0,0
81,Vegetable sushi,good,0,0,1
82,Rice bowls,good,0,0,1
83,Food,truly great,0,0,1
84,Dengaku,tofu with miso-glaze,0,0,1
85,Portion size,meals are much bigger than you expect,1,0,0
86,Japanese vegetarian food,Delicious,0,0,1
87,Mushroom soup,We particularly recommend,0,0,1
88,Buckwheat noodle sushi,We particularly recommend,0,0,1
89,Food,Delicious food for everyone,0,0,1
90,Friends,I love bringing my friends here,0,0,1
91,Curry noodle soup,Get the curry noodle soup,0,0,1
