,aspect,opinion,negative,neutral,positive
0,Food,great,0,0,1
1,Service,excellent,0,0,1
2,Atmosphere,charming,0,0,1
3,Recommendation,I would highly recommend Marios,0,0,1
4,Overall satisfaction,I love this place,0,0,1
5,Food,"chile rellano, cheese enchilada combo, and the marios tostado ensalada are my favorite",0,0,1
6,Margaritas,would love to try their margaritas,0,0,1
7,Flans,like their flans,0,0,1
8,Atmosphere,I love to go with my mom and my friends there too or sometimes after my guitar lesson,0,0,1
9,Mexican food,OK,0,1,0
10,Ambiance,in an old la mesa house,0,1,0
11,Alcohol,no alcohol drinks,1,0,0
12,Preference,I still prefer old town,1,0,0
13,Enchiladas,Excellent,0,0,1
14,Decor,pretty good,0,0,1
15,Service,amazing,0,0,1
16,Food,amazing,0,0,1
17,Food,everything ive ever eaten there was outstanding,0,0,1
18,Service,beyond excellent,0,0,1
19,Staff,wonderful,0,0,1
20,Recommendation,highly recommend,0,0,1
21,Food,great,0,0,1
22,Service,great,0,0,1
23,Recommendation,give it a try,0,0,1
24,Family restaurant,nice,0,0,1
25,Worth going to,Worth going to,0,0,1
26,Food,Yummy Yummy Yummy love their food,0,0,1
27,Neighborhood restaurant,excellent,0,0,1
28,Service,exceptional,0,0,1
29,Authenticity,truly authentic,0,0,1
30,Overall satisfaction,Love the place,0,0,1
31,Taste,Great tasting food,0,0,1
32,Portion size,Huge portions,0,0,1
33,Wait staff,the epitome of what I would expect from any waiter or waitress,0,0,1
34,Food,wonderful,0,0,1
35,Service,wonderful,0,0,1
36,Atmosphere,excellent,0,0,1
37,Hospitality,Made us feel like we were guest in their home,0,0,1
