,aspect,opinion,negative,positive
0,Overall satisfaction,favorite place,0,1
1,Atmosphere,right atmosphere,0,1
2,Service,service sometimes depends upon the waiter,1,0
3,Food,food is always good,0,1
4,"Breads, lox and some other deli products",fresh and fabulous,0,1
5,Food,Great food,0,1
6,Service,Great service,0,1
7,Food,good food,0,1
8,Service,good service,0,1
9,Pastrami meal,best thing on the menu,0,1
10,Overall satisfaction,Love it,0,1
11,Menu,menus changed,1,0
12,Price,prices went up,1,0
13,Food,food is as good as before,0,1
14,Overall satisfaction,Love this place!,0,1
15,Smoked fish,Great,0,1
16,Real Deli Meats,Great,0,1
