,aspect,opinion,negative,positive
0,Place,Down to earth,0,1
1,Burger,great,0,1
2,Shake,great,0,1
3,Great local place,Great local place,0,1
4,Cash only,a bummer in a market place that runs on plastic,1,0
5,Late night food,spot,0,1
6,Food,Good food,0,1
7,Service,Service,0,1
8,Location,Location,0,1
9,Price,Bit pricey on some things,1,0
10,Value for money,totally worth it,0,1
11,Overall satisfaction,Amazing,0,1
12,Hamburgers,the best hamburger you will eat in humboldt county,0,1
13,Pies,very good,0,1
14,Hours,Open 24 hours,0,1
15,Breakfast options,just as good and filling,0,1
