,aspect,opinion,negative,neutral,positive
0,Service,horrible,1,0,0
1,Food,one and a half hours after we ordered,1,0,0
2,Reservations,not seated till an hour later,1,0,0
3,Price,Little pricey for Fresno,1,0,0
4,Food,excellent,0,0,1
5,Service,excellent,0,0,1
6,Dress code,On the east coast there would be a dress code,1,0,0
7,Appearance,"The women were nicely attired for the most part, but more often than not the men looked like they just been camping or walked off a baseball field",1,0,0
8,Staff,excellent,0,0,1
9,Ambiance,cant be beat,0,0,1
10,Martinis,to die for,0,0,1
11,Steaks,always cooked to perfection,0,0,1
12,Lobster,excellent,0,0,1
13,Wine selection,to die for,0,0,1
14,Dessert,Hot Chocolate Lava is excellent,0,0,1
15,Reputation,other dining experiences with greater reputations,1,0,0
16,Overall satisfaction,consistently excellent experiences,0,0,1
17,Quality of steak,high quality,0,0,1
18,Temperature of steak,cooked to the proper temperature,0,0,1
19,Service,attentive without being pretentious,0,0,1
20,Manager,visits to ensure satisfaction,0,0,1
21,Price,what is to be expected of a prime steak,0,0,1
22,New York strip,recommend,0,0,1
23,Wedge salad,recommend,0,0,1
24,Baked potato,recommend,0,0,1
25,Carrot cake,amazing,0,0,1
26,Waiting time,an hour past our reservation time,1,0,0
27,Martinis,served in hot glasses,1,0,0
28,Appetizers,half hour later the short ribs were good,0,0,1
29,Calamari,doughy fried calamari tasted like it came out of the microwave,1,0,0
30,Wine glasses,dirty wine glasses,1,0,0
31,Entrees and sides,pretty standard for a high end steak house,0,1,0
32,Bill,included the calamari that we sent back,1,0,0
33,Hostess,did not have toothpicks,1,0,0
34,Decor,worth dropping in for,0,0,1
35,Bar scene,worth dropping in for,0,0,1
36,Food,good,0,0,1
37,Service,lousy,1,0,0
38,Price,$30+ main entree,1,0,0
39,Atmosphere,"lackluster, very loud, a bit overcrowded, tables too close together",1,0,0
40,Food,"Steak was very good, but not fantastic. Side dishes were just OK",1,0,0
41,Service,excellent,0,0,1
42,Quality,focus on quality,0,0,1
43,Service,high level of service,0,0,1
44,Restaurant,moving into the upper circle of steak houses,0,0,1
45,Overall satisfaction,"Loved, Loved, loved!",0,0,1
46,Staff,Everyone was so nice from the moment we walked in,0,0,1
47,Manager,Gilbert was so nice and professional,0,0,1
48,Date night,It was a wonderful date night,0,0,1
49,Recommendation,We highly recommend Flemings in Fresno,0,0,1
50,Table spacing,Tables are very close together so it was very loud,1,0,0
51,Service,ok but not great for this type of place,1,0,0
52,Food,"same as above, just ok",1,0,0
53,Prices,high!,1,0,0
54,Value for money,not worth it,1,0,0
55,Noise level,a little loud,1,0,0
56,Overall satisfaction,quite good,0,0,1
57,Preference,prefer capital grille,0,0,1
