,aspect,opinion,negative,neutral,positive
0,Flavor,Authentic Taiwan flavor,0,0,1
1,Sizzling plate,liked,0,0,1
2,Food,"Delicious rice, noodle plates",0,0,1
3,Hot pot / steamboats,sized for 1-2 people,0,0,1
4,Dining with kids,lots to choose from,0,0,1
5,Healthiness,less oily,0,0,1
6,Boba tea,wide selection,0,0,1
7,Take-out,I come here often to get take-out,0,0,1
8,Pork chop entree,cheap and pretty consistently satisfying,0,0,1
9,Bubble tea,pretty good,0,0,1
10,Flavors and toppings,They have a lot of different flavors and toppings,0,0,1
11,Red bean smoothie,It was really good,0,0,1
12,Red bean smoothie,It wasn't too sweet,0,0,1
13,Boba,The boba was just the right texture,0,0,1
14,Drinks,completely customizable,0,0,1
15,Food,Havent tried,0,1,0
16,Teas,Average teas,1,0,0
17,Food,Average food,1,0,0
18,Loyalty Card,buy 9 get the 10th free,0,0,1
19,Sizzling platter,consistently good,0,0,1
20,Hot pot,my favorite,0,0,1
21,Basil fried rice,decent,0,0,1
22,Pad thai,greasy & overly sweet,1,0,0
23,Bubble tea,overly sweet,1,0,0
24,Fried stuff,similar to what you'd find at Tapioca Express or Verde,0,0,1
25,Milk tea,favorite,0,0,1
26,Sugar,"You can order it with less sugar, half sugar or no sugar",0,0,1
27,Bubble tea,they have no tapioca pearls before noon,1,0,0
