,aspect,opinion,negative,neutral,positive
0,Food,Great place to fill up on meat,0,0,1
1,Customer Service,horrible 75% of the time,1,0,0
2,Customer Service,Sometimes they might even ignore you,1,0,0
3,Price,$10,0,0,1
4,Food,yummy,0,0,1
5,Tipping,if you dont leave tip they chase you down,1,0,0
6,Tipping,If they were more attentive and polite I would Def. Leave better tip,0,0,1
7,Customer service,horrible,1,0,0
8,Barley water,yucky,1,0,0
9,Korean BBQ,Great korean bbq,0,0,1
10,Price,great price,0,0,1
11,Service,just remember to ring the bell every time u need something,1,0,0
12,Variety of meat,"They serve chicken, pork, and beef",0,0,1
13,Service,The service was ok,0,1,0
14,Variety of meat,I like to see the more choices for meat and different ways they prepare it,1,0,0
15,Portion size,"Be AWARE, at first, they serve small portion of meat but toward the end, they serve larger portions",1,0,0
16,Value for money,"If you read the fine print, they say they will charge you extra if you dont eat all of it",1,0,0
17,Policy,single.person allowed after 5pm,1,0,0
18,Service,worst of them all,1,0,0
19,Ambiance,forced us to leave as soon as we were done eating,1,0,0
20,Hygiene,keep there barley water in a trash bin near where they wash dishes and there was no soap in the restrooms how do they wash there hands,1,0,0
21,Price,$9.99 a person is a steal!,0,0,1
22,Variety of meats,If you want more a selection of meats you got to pay more,1,0,0
23,Service,service is a bit slow but you have to be aggressive with what you want lol,1,0,0
24,Quality of meats,I think it has good quality meats,0,0,1
25,Taste of sides,very delicious sides,0,0,1
26,Smell,you will smell like smoked meat when you leave,1,0,0
27,Pork Marinated ribs,Try the Pork Marinated ribs!,0,0,1
28,Large intestine,Stay away from large intestine( very very fatty and i dont mind a bit of fat with my meat but dame thats all it is,1,0,0
29,Service,too bad,1,0,0
30,Price,"$9.99 price, you cant really argue",0,0,1
31,Service,poor service as I have seen on other reviews,1,0,0
32,Atmosphere,"I enjoy the atmosphere, when we go there are few people its not loud and the waiters are friendly",0,0,1
33,Potato salad,Their potatoe salad is godly,0,0,1
34,Recommendation,I would not highly recommend it but i do recommend it! Give it a try!,0,0,1
35,Customer service,poor,1,0,0
36,Food,They will probably put spit on your food,1,0,0
37,Owner,never let you speak to the owner if he/she is not there,1,0,0
