,aspect,opinion,mixed,negative,positive
0,Service,great,0,0,1
1,Staff,friendly and flirty,0,0,1
2,Overall satisfaction,love this place,0,0,1
3,To-go food,Every single time there has been a problem,0,1,0
4,Wings,missing,0,1,0
5,Sliders,hilarious,0,1,0
6,Burger,cheese slices came on the side cold,0,1,0
7,Hooters swag,for sure,0,0,1
8,Food,good and greasy,0,0,1
9,Waitstaff,hot,0,0,1
10,Food,Good food,0,0,1
11,Service,horrible,0,1,0
12,Server,bad,0,1,0
13,Service,The bartender was more concerned about socializing with a friend than waiting on me. Took 10 minutes to get her attention to order.,0,1,0
14,Food,"Burger came out wrong, not once, but twice. At least it still tasted good",1,0,0
15,Overall satisfaction,rating it a 2-star instead of a 1-star,0,0,1
16,Service,horrible,0,1,0
17,Decor,cool,0,0,1
18,Wings,insanely delicious,0,0,1
19,Chipotle honey and onion rings,rock,0,0,1
20,Service,decent,0,0,1
21,TGIF,better,0,0,1
22,The Lime,better,0,0,1
23,Service,took them over 45 minutes for food at the bar while others that were seated after had food quickly. 20 mins to get a beer,0,1,0
24,Day and time,on a Monday afternoon,0,1,0
25,Service,terrible service,0,1,0
26,Hooters,I refuse to go there again,0,1,0
27,Service,Worst service ever,0,1,0
28,Food,not much better,0,1,0
29,Boneless wings,like they were covered in concrete,0,1,0
30,Breading,hard as a rock,0,1,0
31,Meat,dry,0,1,0
32,Replacement,took forever to get the servers attention and then over 15 minutes to get them back,0,1,0
33,Ambiance,the girls seem to spend more time standing around talking to each other than doing their jobs and taking care of customers,0,1,0
34,Hot girls,a plus,0,0,1
35,Sports bar,not a strip joint,0,0,1
36,Food and service,should be at least mediocre to be acceptable,0,1,0
37,Beer,good,0,0,1
38,Business,how this place is still in business is a miracle,0,1,0
