,aspect,opinion,negative,neutral,positive
0,Menu,Order stuff off the menu if you dont see what you want. They can do a lot more than whats listed on the menu.,0,0,1
1,Thai restaurant,Best ever,0,0,1
2,Thai food,The best Thai food Ive had in Orange County,0,0,1
3,Beef panang,incredible,0,0,1
4,Coconut dessert,incredible,0,0,1
5,Authenticity,authentic Thai Food,0,0,1
6,Taste,exceptionally Thai,0,0,1
7,Flavor,clean great 100% Thai cooking,0,0,1
8,Clams in Roasted Chili sauce,try it,0,0,1
9,Thai place,favorite,0,0,1
10,BBQ Beef,amazing,0,0,1
11,Take-out service,The order took about 15 minutes to get done,1,0,0
12,Thai beef salad,bright and spicy as expected,0,0,1
13,Basil pork,a bit too salty though,1,0,0
14,Portion size,good,0,0,1
15,Menu,"extensive menu, but strangely missing some standards green curry, red curry",1,0,0
16,Sauces,"not much kick in the sauces as served, though I didnt ask for any special spiciness level",1,0,0
17,Service,ok service,0,1,0
18,Parking,easy parking in adjoining lot,0,0,1
19,Cost,moderate cost,0,1,0
20,Setting,nicer than average setting,0,0,1
21,Restroom,very good restroom,0,0,1
22,Price,expensive,1,0,0
23,Food,low quality and flavorless,1,0,0
24,Competition,"too many Thai food places in OC that, taste way better",1,0,0
25,Food,Excellent food,0,0,1
26,Pad thai,lots of flavor,0,0,1
27,Panang curry,lots of flavor,0,0,1
28,Green curry,lots of flavor,0,0,1
