,aspect,opinion,negative,neutral,positive
0,Kelly,excellent,0,0,1
1,Kelly,happy,0,0,1
2,Kelly,friendly,0,0,1
3,Service,always perfect,0,0,1
4,Overall satisfaction,This is a great little find,0,0,1
5,Food,Good food,0,0,1
6,Staff,Friendly staff,0,0,1
7,Coconut shrimp,Try the coconut shrimp,0,0,1
8,Spyglass,Stay at the Spyglass,0,0,1
9,Breakfast,$5.99 breakfast,0,0,1
10,Patio,eat on the outside patio,0,0,1
11,View,fantastic view,0,0,1
12,Friendliness,Very friendly,0,0,1
13,Flexibility,willing to let us move,0,0,1
14,Overall satisfaction,Always wonderful,0,0,1
15,Food,Great food,0,0,1
16,Staff,Great Staff,0,0,1
17,Ambiance,Great Ambience,0,0,1
18,Customer service,friendly people who work there took the time to show us around,0,0,1
19,Ceremony location,beautiful,0,0,1
20,Reception location,banquet room and lounge,0,0,1
21,Price,caters to varying price ranges,0,0,1
22,Views,Great views of the Pacific,0,0,1
23,Food,the food and the staff were great,0,0,1
24,Outdoor seating,My favorite is the outdoor seating,0,0,1
25,Pathway,the pathway you can take along the bluffs after a great lunch or dinner,0,0,1
26,Food,Excellent,0,0,1
27,Service,"perfect, cheerful",0,0,1
28,Server,Travis was a great server very pleasant,0,0,1
29,Customer service,Ben is very cordial. Fills customer's wishes with friendliness and politeness,0,0,1
30,Place for kids,Great,0,0,1
31,Grassy park area,Great,0,0,1
32,Bartender,best bartender,0,0,1
33,Bartender,"kind, affectionate, and personable",0,0,1
34,Dinner with young daughters,great and people are really kind,0,0,1
35,Pizza,great,0,0,1
36,Monte carlo sandwich,great,0,0,1
37,Stuffed sole,great,0,0,1
38,Ocean-side view,Very nice,0,0,1
39,Overall satisfaction,Exceeded our expectations,0,0,1
40,Staff,Wonderful staff,0,0,1
41,Food,Wonderful food,0,0,1
42,Service,very awesome,0,0,1
43,Food,Great food,0,0,1
44,Waiter,Helpful,0,0,1
45,Arthur,amazing,0,0,1
46,Margaritas,rocked,0,0,1
47,Hosting,great,0,0,1
48,Room 109,worst room,1,0,0
49,Restaurant,right next to the restaurant,1,0,0
50,View,enjoying my view,0,0,1
51,Salmon salad,best,0,0,1
52,Sarah,very attentive,0,0,1
53,Friendliness,Always friendly. Warm.,0,0,1
54,All you can eat fish,Great,0,0,1
55,All you can eat crab legs,Now going to try,0,0,1
56,Customer service,Very sweet and helpful/attentive,0,0,1
57,Clam chowder,out front brought us in,0,0,1
58,Service,Great service,0,0,1
59,Customer service,"She was great, very friendly",0,0,1
60,Value for money,A lot of food for the money,0,0,1
61,Wish,you open a place in North Carolina,0,0,1
62,Service,"Travis gave fabulous service! Amber, Michael, Kelly also",0,0,1
63,Spyglass Rest,We love it,0,0,1
64,Special occasions,We come here for special occasions,0,0,1
65,Ocean view,Just to sit and look out at the ocean,0,0,1
66,Restaurant,Wonderful,0,0,1
67,Pirate,Wish I'd known about the pirate,1,0,0
68,Dining deck,Best on C. Coast,0,0,1
69,Server,made my experience here at Rose's amazing,0,0,1
70,Returning customer,definitely,0,0,1
71,Service,excellent,0,0,1
72,Food,delicious,0,0,1
73,Value for money,I've never been disappointed,0,0,1
74,Service,Travis was extremely attentive and Tracy made us amazing long island ice teas,0,0,1
75,Personality,Brodie is so funny,0,0,1
76,Helpfulness,helpful and kind,0,0,1
77,Wedding,My daughter chose this place,0,0,1
78,Customer service,outstanding,0,0,1
79,Food,O.K.,0,1,0
80,Experience,appeals to me and my friends,0,0,1
81,Location,above the ocean,0,0,1
82,Overall satisfaction,truely enjoyed everything,0,0,1
83,Server,extremely accomadating and attentive,0,0,1
84,Service,"Great service, that goes above and beyond",0,0,1
85,Food,"fantastic food, large portions of the seafood",0,0,1
86,View,the best view available in Pismo beach,0,0,1
87,Overall satisfaction,Everything was A+,0,0,1
