,aspect,opinion,negative,neutral,positive
0,Service,Great service,0,0,1
1,Food,Better food than any chain restaurant,0,0,1
2,Ingredients,Fresh ingredients,0,0,1
3,Fruit,Fresh fruit,0,0,1
4,Setting,fun,0,0,1
5,Restaurant choices,many,0,0,1
6,Accomodations,excellent,0,0,1
7,Recommendation,A must try!,0,0,1
8,Service,Amazing,0,0,1
9,Food,good,0,0,1
10,Atmosphere,good,0,0,1
11,Service,horrible service from the hostess that sat us and the waitress who took our order and brought our food,1,0,0
12,Food,burnt eggs,1,0,0
13,Atmosphere,dirty table and atmosphere,1,0,0
14,Value for money,The Breakfast Dud!!!,1,0,0
15,Fried eggs,have flavor and I mean really good flavor,0,0,1
16,Tri tip and eggs,love every bite,0,0,1
17,Owner and staff,awesome and always have time for us when we stop by,0,0,1
18,Place,rocks,0,0,1
19,Food,My wife got horribly ill. I got mildly ill. She was ill for 2 months after this place.,1,0,0
20,Veggie sandwich,She had a veggie sandwich,0,1,0
21,Overall satisfaction,Pretty fun place,0,0,1
22,Waiting time,large group and so we had to wait a little while to get in,1,0,0
23,Employees,The employees didnt ignore us and kept coming out to talk to us and make sure we were okay while waiting,0,0,1
24,Bathroom,fun pictures and quotes,0,0,1
25,Wait time,long it took between ordering the food and getting the food,1,0,0
26,Food,"inexpensive, portions are large, and its delicious",0,0,1
27,Servers,pretty good,0,0,1
28,Atmosphere,"great (80s theme!), place is clean",0,0,1
29,Locals,locals choice type of place,0,0,1
30,Overall satisfaction,Excellent,0,0,1
31,Waiting for seating,"Get there early, because there will be a wait",1,0,0
32,Food,Try the ham steak and eggs. Great multi-grain pancakes!!! The orange juice is the best - it tastes just like fresh squeezed!,0,0,1
33,Decor,1980s,0,0,1
34,Service,Friendly and prompt service,0,0,1
35,Atmosphere,fun place to eat,0,0,1
36,Overall satisfaction,This is a great place to eat,0,0,1
37,Staff,really friendly staff,0,0,1
38,Environment,clean environment,0,0,1
39,Decor,got love the 80s music and decor,0,0,1
40,Food,"Great food, large amounts on the plate",0,0,1
41,Hours,"I wish did stay open later, though",1,0,0
42,Nostalgia,I love the 80s nostalgia,0,0,1
43,Atmosphere,Great atmosphere,0,0,1
44,Service,Great service,0,0,1
45,Location,Great location,0,0,1
46,Food,The food was good too,0,0,1
47,Recommendation,Recommended,0,0,1
