,aspect,opinion,negative,neutral,positive
0,Overall satisfaction,this place ROCKS,0,0,1
1,Healthiness,healthy,0,0,1
2,Price,cheap,0,0,1
3,Food,SO yummy,0,0,1
4,Seating,more seating,1,0,0
5,Location,small location,1,0,0
6,Popularity,too popular,1,0,0
7,Sandwiches,Excellent,0,0,1
8,Station setup,somewhat confusing,1,0,0
9,Staff,could be a little friendlier,1,0,0
10,Overall satisfaction,Best fast food ever,0,0,1
11,Traditional fast food,Nothing like traditional fast food,0,0,1
12,Salads,pretty good,0,0,1
13,Sandwiches,OK,0,1,0
14,Healthiness,fairly healthy,0,0,1
15,Price,not too expensive,0,0,1
16,Salads,really great deal,0,0,1
17,Price,Excellent,0,0,1
18,Freshness,always fresh,0,0,1
19,Food,Fresh. Healthy. Tasty.,0,0,1
20,Salad,Grab a salad add some steak . Enjoy it.,0,0,1
21,Salad,Fantastic,0,0,1
22,Price,good,0,0,1
23,Salads,"have the potential to be awesome, but only if the lettuce wasn't brown or wilting, and if the meat was neither overly greasy nor hard from sitting out too long",1,0,0
24,Atmosphere,noisy,1,0,0
25,Experience,stressful,1,0,0
26,Price,inexpensive,0,0,1
27,Meal hours,normal'meal hours,0,0,1
28,Place to grab a salad,Great,0,0,1
29,Add-ins,lots to choose from,0,0,1
30,Price,very reasonable,0,0,1
31,Experience,always 'ehh',1,0,0
32,Toppings on salads,Pluto has delivered every time,0,0,1
33,Value for money,not worth it,1,0,0
34,Salads,awesome,0,0,1
35,Portion size,real big,0,0,1
36,Food,"Great sandwiches, salads and combination dishes",0,0,1
37,Daily suggestions,pretty good,0,0,1
38,Flexibility,lot of flexibility so you can mix and match ingredients and sides,0,0,1
