,aspect,opinion,negative,neutral,positive
0,Ramen,amazing,0,0,1
1,Soup,amazing,0,0,1
2,Spiciness,not that spicy,0,0,1
3,Restaurant,Nice hole in the wall-ish restaurant in the heart of downtown LA,0,0,1
4,Spicy ramen,One of the best,0,0,1
5,Special #2,I've done it 10 times!,0,0,1
6,Soy sauce broth,amazing,0,0,1
7,This place,I'm always craving it,0,0,1
8,Location,Just opened up a locarion in Burbank on San Fernando Road,0,0,1
9,Ramen,Excellent ramen,0,0,1
10,Service,great service,0,0,1
11,Japanese ramen,spicy,0,0,1
12,Service,OK,0,1,0
13,Food,Great food,0,0,1
14,Staff,constantly overwhelmed,1,0,0
15,Overall satisfaction,"This place is amazing, love eating here",0,0,1
16,Location,I travel 1hour to get there,0,0,1
17,The challenge,Dont try it,1,0,0
18,Soup,Its too much soup,1,0,0
19,Spice,The spice is nothing if youre used to spicy food,1,0,0
20,Food,Great food for cold,0,0,1
21,Ramen,best ramen in town,0,0,1
22,Overall satisfaction,Love this place,0,0,1
23,Music,Any restaurant that plays Dick in a Box by SNL is Great to me! Lol,0,0,1
24,Noodles,spicy but yet very delicious,0,0,1
25,Flavor,spicy did not hide the flavor,0,0,1
26,Price,Price was a little ridiculous for the amount of food,1,0,0
27,Food,Big bowl but little noodle or toppings,1,0,0
28,Service,Service was horrible,1,0,0
29,Atmosphere,I had three different servers,1,0,0
30,Miso # 3,delicious,0,0,1
31,Service,very good,0,0,1
32,Bathroom,not very clean,1,0,0
