,aspect,opinion,mixed,negative,positive
0,Overall satisfaction,You can't go wrong at this place -the whole menu rocks!,0,0,1
1,Chicken liver pate,Just get it,0,0,1
2,Sweet onion jam,spicy tangy mustard,0,0,1
3,Pate,everything,0,0,1
4,Waitstaff,sassy,0,0,1
5,Beer/wine list,good,0,0,1
6,Butternut squash pizza,like,0,0,1
7,Burger,one of the best,0,0,1
8,Brunch,not to be missed,0,0,1
9,Maple bacon donut,not to be missed,0,0,1
10,Overall satisfaction,Really nice,0,0,1
11,Food,Food isn't anything spectacular,0,1,0
12,Patio,Love the back patio,0,0,1
13,Chicken liver pate,to die for,0,0,1
14,Pot pie,definitely recommend,0,0,1
15,Burger,definitely recommend,0,0,1
16,Pot de creme,delicious,0,0,1
17,Bacon brussel sprouts,get them,0,0,1
18,Diet cola,enjoy,0,0,1
19,Food,Yummy! Bravo!,0,0,1
20,Service,superb,0,0,1
21,Atmosphere,simple decor...farm-style tables...very well-lit lighting...sunrays...back outdoor patio area,0,0,1
22,Portion size,large,0,0,1
23,Price,Not overly priced,0,0,1
24,Ribs,good,0,0,1
25,Service,a bit slow,0,1,0
26,Food,Crazy good,0,0,1
27,Bacon,THE place to go,0,0,1
28,Service,"hit or miss, especially for larger parties",0,1,0
29,Dishes,Eclectic variety,0,0,1
30,Wines,great selection,0,0,1
31,Microbrews,great selection,0,0,1
32,Cocktails,Great,0,0,1
33,Burgers,Great,0,0,1
34,Waiting time,Always a bit of a wait,0,1,0
35,Service,slow,0,1,0
36,Seating,We waited 15 minutes for our seat,0,1,0
37,Decor,"The decor, service and noise level at this place is great",0,0,1
38,Food,The food is great. It is perfect for when you want to relax with friends after a night of drinking,0,0,1
39,Atmosphere,California comfort food' is an apt description,0,0,1
40,Burgers,really good,0,0,1
41,Friendliness,A friend introduced me to this place shortly after it opened,0,0,1
42,Cured meats,They cure all their own meats,0,0,1
43,Cocktails,have a slew of tasty cocktails,0,0,1
44,Everything,EVERYTHING I've had there has been absolutely delicious,0,0,1
45,Small plates,good,0,0,1
46,Cocktails,interesting,0,0,1
47,Noise level,Noisy,0,1,0
48,Atmosphere,Great atmosphere,0,0,1
49,Food,good food,0,0,1
50,Price,reasonably priced (under $30 with drink),0,0,1
51,Back patio,awesome,0,0,1
52,Overall satisfaction,"I have yet to be disappointed, and hopefully won't have to be",0,0,1
