,aspect,opinion,negative,neutral,positive
0,Sushi,"The best place to take out of town guests, have a quick lunch or eat as late as 10pm",0,0,1
1,Price,"The price is right, too",0,0,1
2,Decor,This place puts the attention on the food and not the decor or costume image so many competitors in the area try to draw with,0,0,1
3,Omakase,I only wonder if they have omakase?,0,1,0
4,Sushi,"Sushi in the tenderloin may sound like a bad idea, but youll be hard pressed to find a better casual sushi restaurant in the city that wont set you back an arm and a leg",0,0,1
5,Food,Nice food,0,0,1
6,Service,Great service,0,0,1
7,Sushi,Amazing,0,0,1
8,Recommendation,Might just skip Ryokos and head here first next time,0,0,1
9,Food,Great food,0,0,1
10,Personnel,nice personnel,0,0,1
11,Scallops with bacon,fantastic,0,0,1
12,Sashimi,so was the sashimi,0,0,1
13,Sushi,Definitely a great place where to have sushi,0,0,1
14,Food,amazing,0,0,1
15,Specials,We didnt even have the specials,1,0,0
16,Octopus,some octopus,0,0,1
17,Owners,awesome,0,0,1
18,Tea,gave us tea,0,0,1
19,Sushi and sashimi,freshest and most delicious,0,0,1
20,Fancy roll creations,"simple, delicious basics",0,0,1
21,Authenticity,Feels like an authentic sushi Japanese sushi bar,0,0,1
22,Value,Good value,0,0,1
23,Food,"good, simple food",0,0,1
24,Meal,perfect light meal,0,0,1
25,Tuna,unbelievable,0,0,1
26,Sashimi,fresh,0,0,1
27,Rice,perfectly seasoned and cooked,0,0,1
28,Experience,keeps getting better and better,0,0,1
29,Hours of operation,open from M-F 11:30AM to 2:30PM for lunch,0,0,1
30,Hours of operation,closed when we got there,1,0,0
31,Food,always fresh,0,0,1
32,Music,great tunes playing,0,0,1
33,Food,Awesome,0,0,1
34,Service,Great,0,0,1
35,Green tea flan,Be sure and try,0,0,1
36,Japanese restaurant,favorite,0,0,1
37,Food,simple and delicious traditional japanese food,0,0,1
