,aspect,opinion,negative,neutral,positive
0,Seafood omelette,big and tasty,0,0,1
1,Service,Great service,0,0,1
2,Menu options,lots of menu options,0,0,1
3,Friendliness,friendly people,0,0,1
4,Service,Super fast,0,0,1
5,Food,good,0,0,1
6,Breakfast,ok but not great,1,0,0
7,Price,overpriced,1,0,0
8,Everything,kinda bland,1,0,0
9,Joes scramble,bland,1,0,0
10,Country potatoes,no peppers or onions,1,0,0
11,Food,The best food in town,0,0,1
12,Service,great,0,0,1
13,Waiter,great guy and funny,0,0,1
14,Atmosphere,love,0,0,1
15,Food,great,0,0,1
16,Recommendation,would recommend to anyone,0,0,1
17,Portion size,average,0,1,0
18,Fruit,small cup,1,0,0
19,Turkey burger,good (not amazing though),0,0,1
20,Fullness,not really filling,1,0,0
21,Probability of returning,I will probably not be returning,1,0,0
22,Food,lots of food large servings,0,0,1
23,Hot turkey sandwich,try the hot turkey sandwich,0,0,1
24,Portion size,huge,0,0,1
25,Service,great,0,0,1
26,Menu,lots to choose,0,0,1
27,Portion sizes,good,0,0,1
28,Workers,friendly,0,0,1
29,Location,good,0,0,1
30,Food,enjoyed,0,0,1
