,aspect,opinion,negative,neutral,positive
0,Lunch Special,worth $5.99 including a drink,0,0,1
1,Food,delicious,0,0,1
2,Service,great service,0,0,1
3,Food,"everything tasted quite fresh, and flavorful",0,0,1
4,Food,"Not quite the best Indian food Id had, but it was certainly above average",0,0,1
5,Number of available dishes,"Was above average in the number of available dishes in the buffet, too",0,0,1
6,Service,good food -and- pretty good service,0,0,1
7,Naan pizza,"tasty, but not that large for the price, and took a crazy long time to arrive",1,0,0
8,Food,Wonderful food,0,0,1
9,Decor,Simple decor,0,0,1
10,Staff,Very nice staff,0,0,1
11,Curry dishes,GREAT food,0,0,1
12,Hummus,GREAT food,0,0,1
13,Recommendation,Go now and beat the rush,0,0,1
14,Food,good food,0,0,1
15,Menu,out of some options,1,0,0
16,Service,getting better,0,0,1
17,Food,so oily I couldn't eat it,1,0,0
18,Experience,Awesome,0,0,1
19,Food,Awesome,0,0,1
20,Overall satisfaction,Very good place,0,0,1
21,Authenticity,authentic chicken tikka masala,0,0,1
22,Food,Gave me food poisoning,1,0,0
23,Green stuff,left out all day,1,0,0
24,Food,not that good,1,0,0
25,Location,there's another one by big five,0,1,0
26,Style of food,same style food,0,1,0
