,aspect,opinion,negative,neutral,positive
0,Music,lively,0,0,1
1,Dancing,lively,0,0,1
2,Atmosphere,lively,0,0,1
3,Food,no bueno,1,0,0
4,Drinks,no bueno,1,0,0
5,Overall satisfaction,This place has it all,0,0,1
6,Lil shops around the Restaurant,Great,0,0,1
7,Music,Great,0,0,1
8,Food,Great,0,0,1
9,Margaritas,Awesome,0,0,1
10,Experience,Definitely a great experience,0,0,1
11,Atmosphere,Fantastic,0,0,1
12,Food and drinks,great,0,0,1
13,Salsa,addicted,0,0,1
14,Waiter,friendly and stopped by often,0,0,1
15,TVs at the bar,none,1,0,0
16,Food,best Mexican food in San Diego,0,0,1
17,Old Town Chicken Taco Salad,absolutely delicious,0,0,1
18,Atmosphere,thoroughly enjoyed the atmosphere,0,0,1
19,Eating in the courtyard,like eating at a resort in Mexico,0,0,1
20,Recommendation,I highly recommend this place,0,0,1
21,Place,very nice,0,0,1
22,Waiter,OK,0,1,0
23,Chips & salsa,not good,1,0,0
24,Food,bland or salty,1,0,0
25,Portion size,very big,0,0,1
26,Rice,almost no flavor,1,0,0
27,Overall experience,I wouldn't go back again,1,0,0
28,Number of stores,many,0,0,1
29,Entertainment,Free music and dance,0,0,1
30,Haciends de las Rosas,The best,0,0,1
31,Wine tasting,from their own winery,0,0,1
32,Beer tasting,from a local brewery,0,0,1
33,The tiny book store,nice,0,0,1
34,The toy store,fun,0,0,1
35,The restaurant,"pretty, but only fair food",1,0,0
36,Some stores,overpriced,1,0,0
37,Location,Nice location,0,0,1
38,Food,good food,0,0,1
39,Rates,reasonable rates,0,0,1
40,Wife's egg,liked her egg,0,0,1
41,Potato burrito,liked her egg,0,0,1
42,Hot spicy salsa,DEFINITELY worth it,0,0,1
43,Nachos,cold and salsa was crap,1,0,0
44,Tomales,ok. Ive had better,1,0,0
45,Service,sucked,1,0,0
46,Food,cold and undercooked,1,0,0
47,Timeliness,took about an hour to get our food,1,0,0
48,Chips,free chips they give you,0,0,1
49,Overall satisfaction,Felt like i was in disney world,0,0,1
50,Enchiladas,solid,0,0,1
51,Margaritas,solid,0,0,1
52,Value for money,you can find better so close to the border,1,0,0
53,Mexican cuisine,best Mexican cuisine in San Diego,0,0,1
54,Authenticity,other locations offer more authentic Mexican food,1,0,0
55,Location,"surrounded by many wonderful shops, history, and bars",0,0,1
56,Family friendliness,Very family friendly,0,0,1
57,Entertainment,traditional music and dancers from time to time,0,0,1
58,Value for money,you get a good deal for your money,0,0,1
59,Service,it always delivers good times,0,0,1
60,Atmosphere,Great,0,0,1
61,Homemade tortillas,loved,0,0,1
62,Mexican food,The best,0,0,1
63,Romance,Really romantic,0,0,1
