,aspect,opinion,negative,neutral,positive
0,Tuna tacos,$4.50 and worth every penny,0,0,1
1,Food,loved it,0,0,1
2,Atmosphere,worked out well,0,0,1
3,Fish-n-Chips,love,0,0,1
4,Bloody Marys,spot on,0,0,1
5,Food,average,1,0,0
6,Beer selection,out of most of their beers,1,0,0
7,Food,decent to good,0,0,1
8,Ambiance,"Cool spot though, nice corner and lots of light",0,0,1
9,Neighborhood,big fan,0,0,1
10,Location,perfect,0,0,1
11,Ambiance,people are sitting outside having a beer and just chilling,0,0,1
12,Decor,dated and its screaming for a renovation,1,0,0
13,Service,"very very good, good people and friendly",0,0,1
14,Food,worst pizza ever..how can you make bad pizza? just buy it at Safeway,1,0,0
15,Friends' food,nothing to rave about the food,1,0,0
16,Overall,"good place for a beer outside, but thats it. Needs much improvement please!",1,0,0
17,Atmosphere,cozy,0,0,1
18,Brunch,average at best,1,0,0
19,Hollandaise sauce,watery,1,0,0
20,Service,good,0,0,1
21,Bloody mary,stiff,0,0,1
22,Overall experience,OK,0,1,0
23,Pork chops,Best pork chops ever,0,0,1
24,Bread pudding,Savory bread pudding is delectable,0,0,1
25,Service,wonderful,0,0,1
26,Place to watch the game,Great,0,0,1
27,Burger,enjoy,0,0,1
28,Pint,enjoy,0,0,1
