,aspect,opinion,negative,neutral,positive
0,Crowdedness,This place was waaaay too packed when we ventured out on a Saturday night,1,0,0
1,Experience,That caused a less then enjoyable experience,1,0,0
2,Crowd,The crowd wasnt too bad,0,0,1
3,Bar,It took 10 minutes just to get to the bar,1,0,0
4,Drinks,It took at least another 10 to get our drinks,1,0,0
5,Hip place,Despite what seemed like a hip place,1,0,0
6,Heading back,I dont think Ill be heading back anytime soon,1,0,0
7,Punch bowl,order the punch bowl,0,0,1
8,Drinks,Awesome,0,0,1
9,Drinks,Super,0,0,1
10,Bar tenders,nice,0,0,1
11,Atmosphere,Great,0,0,1
12,Place,Nice,0,0,1
13,Decor,Nice,0,0,1
14,Drinks,common drinks pretty much anything you want,0,0,1
15,Location,good,0,0,1
16,Financial district workers,good drink after work,0,0,1
17,Lighting,very dim and makes an intimate setting,0,0,1
18,Crowds,It can get pretty busy in here,1,0,0
19,Drinks,Great,0,0,1
20,Bar,exceptionally long lines at the bar on weekends,1,0,0
21,Ownership,Owned by the same folks that run Bourbon and Branch,0,0,1
22,Whiskey,Gotta order,0,0,1
23,Service,Great service,0,0,1
24,Beer,good beer,0,0,1
25,Beers and cocktails,nice,0,0,1
26,Special cocktails,reasonably priced,0,0,1
27,Happy hour,Great place,0,0,1
28,Vibe,fun,0,0,1
29,Punch bowls,awesome,0,0,1
30,Crowds,It can get really crowded so definitely try to go early,1,0,0
31,Overall satisfaction,Loved it,0,0,1
32,Drinks,favorite thing,0,0,1
33,Punch,You have to get the punch,0,0,1
34,Temperature,"very hot, stuffy and muggy in mid-november",1,0,0
35,Overall satisfaction,Definitely a good place to be!,0,0,1
36,Precision of ingredients,Each drink has a precise amount of each ingredient so they take their time making them,0,0,1
37,Taste,yummy and strong,0,0,1
38,Laphraoig Project,oak/wood after taste to it that I had never experienced before but it was still good nonetheless,0,0,1
39,Finest Sour,cinnamon shavings in it that made it like Christmas in a cup!,0,0,1
40,Punch bowls,thats definitely on the list,0,0,1
41,Ambiance,Not too dark and a intimate balcony upstairs makes it a good place to catch up and mingle with friends,0,0,1
42,Bar,Perfect bar for groups,0,0,1
43,Drinks,book of well over 100 drinks,0,0,1
44,Punch bowls,especially their punch bowls,0,0,1
45,Temperature,Cool inside,0,0,1
46,Drinks,great selection of drinks,0,0,1
47,Service,servers are pretty quick,0,0,1
48,Bars,2 bars,0,0,1
49,Overall satisfaction,I enjoy it muchly,0,0,1
50,Busy-ness,"Rickhouse is busy, and for good reason",0,0,1
51,Seating,Limited seating but worth the wait,0,0,1
52,Cocktails,"Creative, delicious cocktails",0,0,1
53,Overall selection,great overall selection,0,0,1
54,Overall satisfaction,The Rickhouse is a great bar,0,0,1
55,Cocktail menu,creative,0,0,1
56,Seating,fair amount,0,0,1
57,Bartenders,pretty hard to get the bartenders attention,1,0,0
58,Drinks,he made up some great drinks,0,0,1
59,Drinks,Great,0,0,1
60,Crowds,Really crowded on the weekend,1,0,0
61,Place,Very nice,0,0,1
62,Live music,live music,0,0,1
63,Busy-ness,Always busy,1,0,0
64,Crowds,Gets crowded on Fridays when the FiDI crowd descends for happy hour,1,0,0
65,Fruit,Love the fresh fruit,0,0,1
66,Kentucky Buck,Seriously addictive,0,0,1
67,Mixologists,with craft skill,0,0,1
68,Recommendation,Definitely worth a visit,0,0,1
69,Drinks,excellent,0,0,1
70,Bar atmosphere,lively,0,0,1
71,Crowd,later in the evening set,0,0,1
72,Bar,Excellent,0,0,1
73,Drinks,"Just dont order too many drinks, the alcohol will catch up with you",1,0,0
74,Appearance,looks very cool,0,0,1
75,Cocktails,lets see how the cocktails really are,0,1,0
76,Cocktails,terrific,0,0,1
