,aspect,opinion,negative,neutral,positive
0,Food,creative and more than exceptional,0,0,1
1,Staff,wonderful,0,0,1
2,Overall satisfaction,consisitenly a contender in my book for best restaurant and deservingly so,0,0,1
3,Food,spectacular,0,0,1
4,House burger,highlight,0,0,1
5,Patty,"incredibly rich, always delicious",0,0,1
6,Condiments,some of the best condiments known to man,0,0,1
7,Cocktail menu,outstanding,0,0,1
8,Staff,extremely attentive and professional,0,0,1
9,Price,a little pricey,1,0,0
10,Reservations,Our reservations were for 7:15 but we weren't seated till 8:00,1,0,0
11,Wine,The wine steward tended to our taste for a great Riesling,0,0,1
12,Table,The table was flawed with food sticking to the candle in the center of the table,1,0,0
13,Staff,"The staff exchanged it after we pointed it out, but no apology offered",1,0,0
14,Food,The food was delicious,0,0,1
15,Wait,The wait between courses went well past deliberate,1,0,0
16,Service,We had to summon the servers repeatedly for more water and eventually the check,1,0,0
17,Restaurant,The restaurant had nearly cleared by the time we received our final bill,1,0,0
18,Dessert,It was just too late for dessert,1,0,0
19,Experience,"With all the good publicity, we were disappointed and won't return",1,0,0
20,Decor,"elegant, and comfortable",0,0,1
21,Service,exceptionally,0,0,1
22,Staff,courteous and very efficient,0,0,1
23,Food,"fantastic, very delicious",0,0,1
24,White corn soup,like I've never had before,0,0,1
25,Price,a little pricey but I think reasonable for a restaurant of this caliber,1,0,0
26,Lunch menu,Great,0,0,1
27,Ambiance,good,0,0,1
28,Service,good,0,0,1
29,Probability of returning,Will come again soon,0,0,1
30,Overall satisfaction,indescribably lovely,0,0,1
31,Menu,SO excited reading the menu,0,0,1
32,Entrance,beautiful,0,0,1
33,Service,"most attentive, personal service Ive ever experienced",0,0,1
34,Menu,"exquisitely fresh, thoughtful menu",0,0,1
35,Service,impeccable,0,0,1
36,Soup,perfection,0,0,1
37,Main course,melted in my mouth,0,0,1
38,Dessert,phenomenal,0,0,1
39,Burgers,Best burger in San Francisco,0,0,1
40,Availability,too bad that they do not serve lunch on Saturdays,1,0,0
41,Food,great food,0,0,1
42,Waiter,artistically described,0,0,1
43,Wine selection,great selection of wines,0,0,1
44,Noise level,noisy,1,0,0
45,Bar scene,noisy,1,0,0
46,Food,great,0,0,1
47,Style,NYC style,0,0,1
48,Neighborhood,appeals to the neighborhood,0,0,1
49,Financial district,appeals to the financial district,0,0,1
50,Neighborhood,gem,0,0,1
51,Wine list,great,0,0,1
52,Restaurant,destination,0,0,1
53,Overall satisfaction,Expected better,1,0,0
54,Soup,Excellent soup,0,0,1
55,Bread,OK bread,0,1,0
56,Short ribs,bitter and dry,1,0,0
57,Atmosphere,Really fancy place,0,0,1
58,Food,Excellent food,0,0,1
59,Recommendation,I highly recommend the burger,0,0,1
60,Overall satisfaction,Awesome,0,0,1
61,Decor,"Modern, dark and intimate",0,0,1
62,Food,The sweetbreads had me in tears,0,0,1
63,Restaurant,favorite,0,0,1
64,Menu,extensive and sophisticated,0,0,1
65,Burger,LOVE,0,0,1
66,Burgers,It was delicious,0,0,1
67,Wine selection,The wine selection was good too,0,0,1
68,Atmosphere,"Its a bit of an upscale spot, so dress accordingly",0,0,1
69,Michelin-rated restaurant,phenomenal,0,0,1
70,Refined menu,Eloquent ambiance and delicious food,0,0,1
71,Service,matches the quality of the food,0,0,1
72,Dining areas,making it feel more intimate,0,0,1
73,Drink and wine list,comprehensive and all are made very well,0,0,1
74,Date or special occasion spot,good for dinner or just drinks,0,0,1
75,Service,Spruce service is absolutely top of its class,0,0,1
76,Privacy,big cushy booth for just the 2 of us,0,0,1
77,Extras,even gave us a beautiful card,0,0,1
78,Burgers,favorite,0,0,1
79,Meal,Really fantastic,0,0,1
80,Setting,"calm, chic",0,0,1
81,Short rib,amazing,0,0,1
82,Service,"good service dwindled as the evening wore on and by dessert, it was almost impossible to find a server",1,0,0
83,Experience,excellent experience,0,0,1
84,Predinner drinks,predinner drinks on leatherbound chairs in the bar area,0,0,1
85,Burgers,"best burger Ive ever had in my life. Simply delicious, cant recommend highly enough",0,0,1
86,Reliability,Reliable,0,0,1
87,Price,high end,0,0,1
88,Date night,Great place to take your date,0,0,1
89,Service,Excellent service,0,0,1
90,Drinks,mix drinks,0,0,1
91,Overall satisfaction,Simply Fantastic,0,0,1
92,Customer service,The server at the bar was so kind and knowledgable,0,0,1
93,Customer service,everyone who walked by looked at me perplexed,1,0,0
94,Dress code,I was well aware that this was a fine dining restarant and was dressed in a Calvin Klein dress I have always worn to job interviews and heels,0,0,1
95,Duck liver mousse,favorite,0,0,1
96,Seasonal ravioli,favorite,0,0,1
97,Scallops,favorite,0,0,1
98,Burgers,one of the best,0,0,1
99,Bar,fun night,0,0,1
100,Dining room,special occasion,0,0,1
