,aspect,opinion,negative,neutral,positive
0,Food,this bland,1,0,0
1,Restaurant,Simple restaurant with good atmosphere,0,0,1
2,Food,love their salad,0,0,1
3,Veggie pot pie,dont like the taste,1,0,0
4,Ambiance,Good ambiance very relaxing,0,0,1
5,Food,I love the steak salad very tasty,0,0,1
6,Drinks,wide variety of drinks,0,0,1
7,Service,fast and friendly staff,0,0,1
8,Overall satisfaction,Love this place!,0,0,1
9,Food,Great food,0,0,1
10,Service,Great service,0,0,1
11,Dish,You must try the monkey fingers and potatoes,0,0,1
12,House wine quality,below standard,1,0,0
13,Plates for hot dishes,You need to pre-heat the plates,1,0,0
14,Pollo Verde,way too spicy,1,0,0
15,"Fish, lentils, and squash in a cream sauce",You need to warn customers,1,0,0
16,Mahi-Mahi,delicious,0,0,1
17,Lamb burger,delicious,0,0,1
18,Chicken part of the pollo verde,delicious,0,0,1
19,Sliced potato fries,Best sliced potato fries ever,0,0,1
20,Cuisine,Interesting turn,0,0,1
21,Recommendation,If your wanting to try something new this is your place,0,0,1
22,Vibe,Really cool,0,0,1
23,Pork sandwich,delicious,0,0,1
24,Potatoes,nice and spicy,0,0,1
25,Staff,They were very nice to me,0,0,1
26,Ambiance,caught some rays. Ill try the lamb burger next time,0,0,1
27,Crazy lady at the bar,"That was a whole lot of crazy, though!",1,0,0
28,Veggie pot pie,gross,1,0,0
29,Mac and cheese,cheesy and fine,0,0,1
30,Turkey burger,okay,0,1,0
31,Service,"quick given that there was only one waiter for the entire restaurant, which meant they were ridiculously under-staffed",1,0,0
32,Beer,delicious,0,0,1
