,aspect,opinion,positive
0,Food,Excellent food,1
1,Mexican Restaurant,local,1
2,Tacos,enchiladas,1
3,Burrito,great,1
4,Tacos,Best Tacos!!!,1
5,Tacos,Best tacos in Long beach period,1
6,People,Fantastic,1
7,Food,delicious,1
8,Speed,in a snap,1
9,Service,Great service,1
10,Flavors,tasty flavors,1
11,Cleanliness,clean,1
12,Parking,plenty of parking,1
13,Atmosphere,throw back to the old days,1
14,Food,Good food every time I go there,1
15,Chili Colorado burito,it rocks,1
16,Overall satisfaction,Absolutely love this place,1
17,Frequency,I have Baja at least twice a week and have between going for ten years,1
18,Happy hour,Good,1
