,aspect,opinion,negative,neutral,positive
0,Coffee,Good coffee,0,0,1
1,Outdoor seating,Outdoor seating,0,0,1
2,Ice cream,OK ice cream,0,1,0
3,Tea,Good tea,0,0,1
4,Pizza,Nice pizza,0,0,1
5,Coffee,Love the coffee here,0,0,1
6,Smell,smells so good,0,0,1
7,Ambiance,"Casual, busy, can be loud",1,0,0
8,Salads and pasta,good,0,0,1
9,Eats,Like,0,0,1
10,Scenery,Like,0,0,1
11,Atmosphere,Nice,0,0,1
12,Coffee,good,0,0,1
13,WiFi,good,0,0,1
14,People watching,good,0,0,1
15,Coffee,excellent,0,0,1
16,Food,smelled delicious,0,0,1
17,Ambiance,coffee house friendly feel,0,0,1
18,Recommendation,Highly recommended,0,0,1
19,Service,Poor service,1,0,0
20,Order,messed up our order 3 times in 10 minutes,1,0,0
21,Food,pretty standard Italian - not terrible but didnt blow us away,1,0,0
22,Atmosphere,Great,0,0,1
23,Coffee drinks,the best,0,0,1
24,Desserts,make sure to have some desserts with the coffee,0,0,1
25,Food,Fantastic,0,0,1
26,Atmosphere,great,0,0,1
27,Busyness,Too busy,1,0,0
28,Service,not good service,1,0,0
29,Food,The food taste was bad,1,0,0
30,Order,Ordered one extra order and it did not come,1,0,0
31,Attitude,Worse they said they serve it already as if I am a lair,1,0,0
32,Restaurant size,Very small,1,0,0
33,Food,Good,0,0,1
34,Prices,regular,0,1,0
35,Ambiance,many local people at the local,0,0,1
