,aspect,opinion,negative,neutral,positive
0,Peaches,Love,0,0,1
1,Cottage cheese,Love,0,0,1
2,Diner,wonderful,0,0,1
3,Diner,old but very clean,0,0,1
4,Service,great,0,0,1
5,Food,I did not like what I ordered,1,0,0
6,Food,item was simply taken off the bill with a big apology,0,0,1
7,Food,other times I have been there the food was excellent,0,0,1
8,Pancake,I have never had a better pancake,0,0,1
9,Pancake,I do wish they could serve them with a choice of oleo or real butter,1,0,0
10,Deal,one of the best most pleasant deals in town,0,0,1
11,Place,Whole in the wall,0,0,1
12,Food,good food,0,0,1
13,Service,good service,0,0,1
14,Photo,The photo is the alley behind the building,0,1,0
15,Food,excellent,0,0,1
16,Portion size,good,0,0,1
17,Service,excellent,0,0,1
18,Recommendation,definitely recommending it to others,0,0,1
19,Biscuits and gravy,Love,0,0,1
20,Breakfast,amazing,0,0,1
21,Service,fast and friendly service,0,0,1
22,Food,The food is the best coffee shop food around,0,0,1
23,Food,best eating ever,0,0,1
24,Service,They will hook you up,0,0,1
25,Overall satisfaction,one of the best,0,0,1
26,Food,consistently good,0,0,1
27,Waffles,amazing,0,0,1
28,Service,good,0,0,1
29,Prices,reasonable,0,0,1
30,Recommendation,Highly recommended,0,0,1
31,Place,nothing special,1,0,0
32,Service,great,0,0,1
33,Food,good,0,0,1
34,Blueberry pie,especially good,0,0,1
35,Experience,pleasant,0,0,1
36,Regulars,staff seem to know,0,0,1
37,Breakfasts,especially good any time of day or night,0,0,1
38,Food,never been disappointed,0,0,1
39,Staff,most friendly staff any where,0,0,1
40,Food prices,very reasonable for the amount you get,0,0,1
41,Recommendation,highly recommend,0,0,1
42,Atmosphere,not looking for trendy upscale place just good food,0,0,1
43,Service,fast and friendly,0,0,1
44,Employees,steady long term Employee's,0,0,1
45,Bias,Very Bias,0,0,1
46,Daughter,Tiffiney Ericksen has worked their for 8 plus yrs,0,0,1
47,Overall satisfaction,I recommend this place,0,0,1
48,Food,Food is good,0,0,1
