,aspect,opinion,negative,neutral,positive
0,Lobster,best lobster Ive ever had,0,0,1
1,Steak,world-class steak,0,0,1
2,Overall satisfaction,fantastic restaurant,0,0,1
3,Food,great,0,0,1
4,Service,great,0,0,1
5,Recommendation,I would recommend to any who is looking for a nice dinner out,0,0,1
6,Dinner,Outstanding,0,0,1
7,Price,pricey,1,0,0
8,Value for money,worth it,0,0,1
9,Wine,Rombauer chardonnay,0,0,1
10,Lobster,You're doing yourself a very serious disservice if you don't try L&M's lobster!,0,0,1
11,Service,Great service,0,0,1
12,Food,Great food,0,0,1
13,Go-to place,Its my go-to place when I have friends in town,0,0,1
14,Seafood,good,0,0,1
15,Oysters,try the oysters!,0,0,1
16,Steaks,ok,0,1,0
17,NY strip,best NY strip I have ever had,0,0,1
18,Lunch menu,great,0,0,1
19,Dinner,great outdoor seating,0,0,1
20,Location,Right at the entrance to the gaslamp district,0,0,1
21,Price,A bit overpriced,1,0,0
22,Location,good,0,0,1
23,Overall satisfaction,WOW!!!,0,0,1
24,Choir singing holiday hymns,classical choir singing holiday hymns,0,0,1
25,Seafood,Fresh seafood,0,0,1
26,Decor,beautiful decor,0,0,1
27,Steaks,perfectly prepared steaks,0,0,1
28,Dinner,best dinner we have experienced in San Diego,0,0,1
29,Melt in your mouth steak,"If you have never truly understood melt in your mouth steak , then L&Ms will usher you into that ensconced shrine of belief",0,0,1
