,aspect,opinion,negative,neutral,positive
0,Food,"tastes fresh, but quality is nothing special",0,0,1
1,Price,fairly affordable,0,0,1
2,Good for lunch,Good for lunch,0,0,1
3,Food,Delicious healthy food,0,0,1
4,Food,Wise selection of fresh food,0,0,1
5,Coupons,available on line or in Sunday newspapers,0,0,1
6,Overall satisfaction,A better version of Fresh Choice,0,0,1
7,Selection,Lots of selection,0,0,1
8,Soups and salads,tons of soups and salads,0,0,1
9,Baked goods,so so- the brownies tasted like cornbread,1,0,0
10,Restaurant,One of my favorite,0,0,1
11,Produce,Fresh,0,0,1
12,Soups,the main reason I come here,0,0,1
13,Baked goods,filling,0,0,1
14,Make your own sundae,,0,0,1
15,Soup & salad,hard to mess that up,0,0,1
16,Produce,fresh,0,0,1
17,Soups,good,0,0,1
18,Price,pretty pricey,1,0,0
19,Coupons,not worth the effort,1,0,0
20,Overall,good place to get your veggie on,0,0,1
21,Overall satisfaction,generally fresh and clean,0,0,1
22,Value for money,pretty good,0,0,1
23,Coupons,save an extra 15-20%,0,0,1
24,Ambiance,lunch and dinner rushes rarely require a wait for seating,0,0,1
25,Staff,good,0,0,1
26,Food,fresh and well-stocked,0,0,1
27,Price,Coupons can always be found online to reduce the price by 15-20%,0,0,1
28,Value,overall value is very good,0,0,1
29,Seating,"seating area is larger than other Sweet Tomatoes in the area, but it can become extremely busy",1,0,0
30,Service,"Service staff is minimal, as typical for Sweet Tomatoes",1,0,0
31,Busyness,"Very busy, for a reason",0,0,1
32,Freshness of food,Fresh food,0,0,1
33,Selection,good selection,0,0,1
34,Price,decent prices,0,0,1
35,Self-service,Fun to serve yourself,0,0,1
36,Restaurant,clean,0,0,1
37,Food,well stocked,0,0,1
38,Ambiance,loud when it is crowded,1,0,0
39,Wait staff,friendly,0,0,1
40,Weekends,not a great time to eat at this location,1,0,0
41,Quick bite,Good place for a quick bite when it is not crowded,0,0,1
42,Location,"Its located next to Costco, and the line can get very long",1,0,0
43,Ambiance,The restaurant can be pretty loud and crowded,1,0,0
44,Usability,It can be difficult to have a conversation,1,0,0
45,Wait staff,The wait staff is very friendly,0,0,1
46,Soup,the best,0,0,1
47,Salad,the best,0,0,1
48,Ice cream,the best,0,0,1
49,Overall satisfaction,Walked in and was like any sweet tomatoes with the salad bar in the front,0,0,1
50,Food,seemed fresh and was well presented,0,0,1
51,Waiter,very helpful and was a handsome gentlemen,0,0,1
52,Visit again,Cant wait to visit again,0,0,1
53,Service,The service was great,0,0,1
54,Katie,Katie deserves praise for keeping up with the dishes and cleaning tables for new customers who were on their way in,0,0,1
55,Manager,Manager was checking out various areas and food trays were being filled on a regular basis,0,0,1
56,Overall satisfaction,"excellent, healthy and filling option for food",0,0,1
57,Freshness of salads,like the freshness of their salads,0,0,1
58,Bean Salad,Bean Salad is my favorite salad,0,0,1
59,Salad bar,Best salad bar I have been to,0,0,1
60,Choices,"a lot of choices with regards to salad as well as soups, breads, etc.",0,0,1
61,Overall satisfaction,I like it,0,0,1
62,Salad,fresh,0,0,1
63,Soup selections,liked,0,0,1
64,Bakery,nice,0,0,1
65,Healthy eating,nice place for healthy eating,0,0,1
66,Theme,good,0,0,1
67,Variety in salads,great,0,0,1
68,Soup,delicious,0,0,1
69,Experience,Great,0,0,1
70,Overall satisfaction,Good place to eat,0,0,1
71,Sanitation,Good sanitation,0,0,1
72,Attention to details,Good attention to details,0,0,1
73,Salads,Good salads,0,0,1
74,Intention to return,I will be back,0,0,1
75,Soup/salad buffet,Excellent,0,0,1
76,Price,cheap,0,0,1
77,Prepared food,all prepared in house and it really tastes fresh,0,0,1
78,Food selection,cant be beat for the price,0,0,1
79,Great place,"any night of the week that you want to eat some soup, salad and bread",0,0,1
80,Location,newer and much more cleaner,0,0,1
81,Fare,more sophisticated and more fresh,0,0,1
82,Crowds,place gets pretty crowded during lunch hour,1,0,0
83,Food,good,0,0,1
84,Variety of veggies,love the variety of veggies that Sweet Tomatoes offers,0,0,1
85,Vegetarian friendly soup offerings,very good,0,0,1
86,Recommendation,can recommend it to everyone,0,0,1
87,Seating,We were seated fairly quickly due to the constantly moving crowd,0,0,1
88,Entrance fee,The entrance fee as I like to call it was similar to the one at Fresh Choice,0,1,0
89,Salad bar,I was pleasantly surprised to find a kids only plate at a lower cost and also a much wider salad bar than the one at Fresh Choice. I liked the overall arrangement of salad items and their choice of dressings,0,0,1
90,Pizzas,The pizzas were warm and the soups were tasty,0,0,1
91,Soups,There were two vegetarian options out of 3 soups which was good,0,0,1
92,Breads and pastries,The breads and pastries available were sumptuous and tasty,0,0,1
93,Dessert section,"In the dessert section, there was very limited choice, not different from Fresh Choice",1,0,0
94,Overall,"Overall, it was a good lunch",0,0,1
95,Selection,Great,0,0,1
96,Satisfaction,no one left hungry,0,0,1
97,Food,great,0,0,1
98,Staff,regular staff is always great,0,0,1
99,Shift leader,Marvin not the greatest person in costummer service,1,0,0
100,Experience,we did not like this experience,1,0,0
101,Soup options,I like the soup options,0,0,1
102,Chicken soup,chicken soup is the main reason I keep going there,0,0,1
103,Pineapple,I also enjoyed the pineapple a bit,0,0,1
104,Servers,servers keep clean the tables and chairs,0,0,1
105,Price,The price is fair than Pluto for sure,0,0,1
106,Decoration,The decoration is cute,0,0,1
107,Overall satisfaction,bad staff and badly understaffed,1,0,0
108,Cleanliness,"Dropped food stays dropped, tables not cleaned after guests leave",1,0,0
