,aspect,opinion,negative,neutral,positive
0,Seafood,wonderful,0,0,1
1,Steak,not so much,1,0,0
2,Requested medium,got rare,1,0,0
3,Sent back,rare again,1,0,0
4,Sent back yet again,came back medium rare,1,0,0
5,Fourth time,medium but charred on outside,1,0,0
6,Waiter,argue with us about the meaning of medium,1,0,0
7,Told us they had four chefs,if that is true why cant they cook a steak correctly?!?,1,0,0
8,Location,prime location,0,0,1
9,Burgers,frozen processed meat,1,0,0
10,Margarita,special $9 margarita tasted like koolaid,1,0,0
11,Mahi fish,limp and undercooked,1,0,0
12,Food,My Mahi Mahi looked really bad and tasted worse. It was apparently pre-cooked waiting for someone to order it. What little moister it may have had was taken out when it was reheated for service. It was very dry and tasted like old fish.,1,0,0
13,Food,"I was hoping the clam chowder would save the day. Nope, that tasted like crap too. This was truly the worst tasting claim chowder I ever had. A child could have made a better bowl of soup with Campbell canned soup.",1,0,0
14,Service,We were literally served within a few minutes of ordering. You would think that was a good thing but in fact it was the opposite.,1,0,0
15,Value for money,The meal cost $57.00 for one the worst dinners ever.,1,0,0
16,Food,Authentic,0,0,1
17,Decoration,Authentic,0,0,1
18,Atmosphere,relaxing,0,0,1
19,View,great,0,0,1
20,Breakfast,sure winner,0,0,1
21,Lunch,sure winner,0,0,1
22,Food,Good food,0,0,1
23,Fish bowl drinks,amazing view,0,0,1
24,Waiting time,Cant wait to go back,0,0,1
25,Meal,The mangoritta my wife got was the best part of the meal,0,0,1
26,Meal,"There was nothing really wrong with the meal, we just expected more of a high caliber meal than we got for $40 each",1,0,0
27,Waiter,The waiter offered to do anything possible to make our experience better,0,0,1
28,Chef's special,isnt that special,1,0,0
29,Type of restaurant,It is a cafe not some fancy restaurant,0,0,1
30,Food,choice of good food,0,0,1
31,Price,reasonably priced,0,0,1
32,Views,astonishing views of the bay,0,0,1
33,Service,did not notice a change in service,0,0,1
34,Food quality,did not notice a change in food quality,0,0,1
35,Overall satisfaction,The concierge was right,1,0,0
36,Food,horrible,1,0,0
37,Service,slow,1,0,0
38,Kids mac-and-cheese,straight out of a box,1,0,0
39,Meals,lukewarm or cold,1,0,0
40,Shrimp,undercooked,1,0,0
41,Service,good,0,0,1
42,Food,tasted good,0,0,1
43,Staff,ok,0,1,0
44,Price,ok,0,1,0
45,Food,all fried,1,0,0
46,Hair in drink,found a hair in my ice tea,1,0,0
47,Recommendation,Should be avoided,1,0,0
48,Cleanliness,kinda dirty feeling,1,0,0
49,Price,expensive,1,0,0
50,Location,location location location,0,0,1
51,Staff,friendly staff,0,0,1
52,Type of restaurant,It is a cafe not some fancy restaurant,0,0,1
53,Food,choice of good food,0,0,1
54,Price,reasonably priced,0,0,1
55,Views,astonishing views of the bay,0,0,1
56,Service,did not notice a change in service,0,0,1
57,Food quality,did not notice a change in food quality,0,0,1
58,Reservation system,Confirmation Number: 935329823,0,0,1
59,Pier Cafe San Diego,somebody cancel your reservation and we are closing,1,0,0
60,Food,good,0,0,1
61,Price,ok,0,1,0
62,View,very nice,0,0,1
63,Ambiance,u eat over the water and lots of boats that go by well u are eating there,0,0,1
64,Would I come back,yes I would,0,0,1
65,Food,good,0,0,1
66,View,exceptional,0,0,1
67,Meal and drinks,great combo,0,0,1
68,Recommendation,I would definitely recommend to all,0,0,1
