,aspect,opinion,disappointed,mixed,negative,positive
0,Service,Great service from our server Allison,0,0,0,1
1,Location,no location in the mid cities or los angeles,0,0,1,0
2,Customer service,little man and told we couldnt sit at a table until all of our party had arrived,0,0,1,0
3,Customer service,"He kept cutting me off with, Its our policy.",0,0,1,0
4,Policy toward disabled,They could bring a chair over and sit him right in the middle of the worst traffic,0,0,1,0
5,Policy toward disabled, Being a 24/7 caregiver to a parent with Alzheimers is extremely stressful - this was our only day out in over a month.,0,0,1,0
6,Policy toward disabled,The day was blown and we just went home.,0,0,1,0
7,Policy toward disabled,When did GC change their policy and start hating disabled people?,0,0,1,0
8,Policy toward disabled,We don’t patronize establishments that are mean to disabled veterans and we tell others all about their unkindness.,0,0,1,0
9,Location,Area little sketchy,0,0,1,0
10,Food,great food,0,0,0,1
11,Satisfaction,Fills you up,0,0,0,1
12,Social Welfare office Buffet,like going to a Social Welfare office Buffet,0,0,1,0
13,line,huge and cant be more ghetto,0,0,1,0
14,management,giving this image,0,0,1,0
15,restaurant,IN LINE outside of the restaurant for at least one hour,0,0,1,0
16,Food,great,0,0,0,1
17,Staff,very nice,0,0,0,1
18,Overall satisfaction,I hate this place,0,0,1,0
19,Bathrooms,dirty,0,0,1,0
20,Food,"food on the floor, chocolate all over the desert area, too greasy, and most of it didn't taste good",0,0,1,0
21,Value for money,I wish I could give this place 0 stars,0,0,1,0
22,Food,Great food,0,0,0,1
23,Service,horrible service,0,0,1,0
24,Accommodation,sat us all in different booths,0,0,1,0
25,Waiting,had to wait for ever for redound,0,0,1,0
26,Seating,Took an hour to be seated,0,0,1,0
27,Food,Food was great though,0,0,0,1
28,Overall satisfaction,Very good,0,0,0,1
29,Food,Delicious,0,0,0,1
30,Cleanliness,clean,0,0,0,1
31,Server,Joy was very apt and friendly,0,0,0,1
32,Overall satisfaction,enjoyed tonight,0,0,0,1
33,Chicken and fish,dry and salty,0,0,1,0
34,Macaroni and cheese,tastes like paste,0,0,1,0
35,Everything,very bland,0,0,1,0
36,Overall satisfaction,"Live it, love it",0,0,0,1
37,Food,amazing,0,0,0,1
38,Food,every kind of food u could want,0,0,0,1
39,Service,great,0,0,0,1
40,Hometown buffet,look like shit,0,0,1,0
41,Food,Good,0,0,0,1
42,Overall satisfaction,What a dump !,0,0,1,0
43,Dirty Fat third world people,Dirty Fat third world people,0,0,1,0
44,Food,Overall food was fair,0,0,1,0
45,Chocolate fountain,Do not eat at choclate fountain,0,0,1,0
46,Plates and silver,Plates and silver are fairly clean,0,0,0,1
47,Staff,Staff is courteous,0,0,0,1
48,Kids running and reaching,Kids running and reaching is a NO GO,0,0,1,0
49,A COUPLE WAS CHANGING A KIDS DIAPER ON ONE OF THEIR CHAIRS,A COUPLE WAS CHANGING A KIDS DIAPER ON ONE OF THEIR CHAIRS,0,0,1,0
50,Tables,Tables are sticky,0,0,1,0
51,Floor,Floor is super disgusting,0,0,1,0
52,Bathrooms,Bathrooms are bad and unkept,0,0,1,0
53,Workers behind foid items,Workers behind foid items seemed burnt out,0,0,1,0
54,Overall satisfaction,This place sucks,0,0,1,0
55,Food,horrible food,0,0,1,0
56,Overall satisfaction,amazing everything I ate was very good,0,0,0,1
57,Value for money,super value price,0,0,0,1
58,Staff,people there were very friendly,0,0,0,1
59,Fondue,People double dip,0,0,1,0
60,Food,food is not fresh,0,0,1,0
61,Recommendation,I personally will not go back nor will I promote,0,0,1,0
62,Worth the drive,Its worth the drive,0,0,0,1
63,Lines on Sundays,the lines are out the door,0,0,1,0
64,Veterans day special,They offered free meals for all veterans,0,0,0,1
65,Crowds,long line,0,0,1,0
66,Food,everything was delicious,0,0,0,1
67,Help,extra tired and ready to be rid of the crowds,0,0,1,0
68,Pork ribs,The meat was falling off the bone tender and juicy,0,0,0,1
69,Chicken,The meat was falling off the bone tender and juicy,0,0,0,1
70,Yeast rolls,fresh and warm and the best tasting Ive ever had,0,0,0,1
71,Ham,Great sliced to order,0,0,0,1
72,Ice cream,Great soft serve,0,0,0,1
73,Cotton candy,freshly made,0,0,0,1
74,Wait time,Ridiculous,0,0,1,0
75,Food,like Hometown,0,0,1,0
76,Ambiance,loud and full of ghetto hood rats,0,0,1,0
