,aspect,opinion,negative,neutral,positive
0,Overall satisfaction,great place,0,0,1
1,Food,love the food,0,0,1
2,Pie,mostly we come here for the pie,0,0,1
3,Recommendation,highly recommend,0,0,1
4,Service,the worst of any restaurant Ive ever been to,1,0,0
5,Management,sucks at dealing with issues it faces,1,0,0
6,Food,the food really isnt good,1,0,0
7,Ice cream store,Only good thing about this place,0,0,1
8,Food,Average food,1,0,0
9,Price,Average price,1,0,0
10,Eggs Benedict,"not the real deal, but they were still good",1,0,0
11,Service,excellent,0,0,1
12,Cleanliness,very clean,0,0,1
13,Bathrooms,beautiful,0,0,1
14,Price,a bit on the high side,1,0,0
15,Recommendation,I recommend CORKYS,0,0,1
16,Parking lot,very clean,0,0,1
17,Staff,beyond awesome when it comes to being friendly and having a good attitude,0,0,1
18,Food,questionable and leaves something to be desired,1,0,0
19,Problem-solving,a bit questionable and leaves something to be desired,1,0,0
20,Public health rating,not visible,1,0,0
21,Stake,ok,0,1,0
22,Hashbrowns,uncooked,1,0,0
23,Fruit cup,never got,1,0,0
24,Value for money,extra charge they say....ya extra,1,0,0
25,Food,good food,0,0,1
26,Price,great price,0,0,1
27,Portion size,sizeable portions,0,0,1
28,Diner,go-to diner,0,0,1
29,Recommendation,highly recommend,0,0,1
30,Food,great,0,0,1
31,Service,wasnt good,1,0,0
32,Waiting time,about 15 minutes,1,0,0
33,Overall satisfaction,place is packed,0,0,1
34,Food,food is really good,0,0,1
35,Portion size,You will not leave hungry,0,0,1
36,Atmosphere,The feel is very warm and inviting,0,0,1
37,Service,service has been good each time,0,0,1
38,Value for money,wont bust your pocket-book,0,0,1
39,Southwest Blackened Salmon,"Three words, Southwest Blackened Salmon..!!!",0,0,1
