,aspect,opinion,negative,positive
0,Overall satisfaction,love this place,0,1
1,Satisfaction,I have only not been satisfied once,0,1
2,Food,My family and friends all enjoy the food,0,1
3,Dancing and whatnot,I can do without the dancing and whatnot,1,0
4,Overall,I like it,0,1
5,Noise level,unbearable,1,0
6,Happy hour,should have a happy hour,0,1
7,Service,Very slow service,1,0
8,Seafood,Seafood was very overcooked,1,0
9,Food,Great food,0,1
10,Price,a little pricey,1,0
11,Food,Good food,0,1
12,Overall experience,great time,0,1
13,Overall satisfaction,what a great experience we just had,0,1
14,Restaurant manager,super to work with,0,1
15,Service,really super,0,1
16,Food,great,0,1
17,Value for money,reasonable price,0,1
18,Child friendliness,giant play area,0,1
19,Service,great,0,1
20,Food,excellent,0,1
21,Lobster,frozen not fresh,1,0
22,Fish and chips,Can not recommend,1,0
23,Batter,under-cooked,1,0
24,Fish,tough,1,0
25,Service,very friendly,0,1
26,Help,very friendly,0,1
